StaffId;Executive;Manager;Coach;Scout;Trainer;Off Pref;Phy Pref;Line Matching;Goalie Handling;Favor Veterans;Innovation;Loyalty;Coaching G;Coaching Defense;Coaching Forwards;Coaching Prospects;Def Skills;Off Skills;Phy Training;Player Management;Motivation;Discipline;Negotiating;Self-Preservation;Tactics;Ingame Tactics;Trainer Skill;Evaluate Abilities;Evaluate Potential
0;10;15;20;15;1;Standard;Physical;Balanced;Balanced;Prefers Veterans;Balanced;Balanced;10;20;15;12;17;12;15;8;12;11;8;17;10;17;0;;14;14
1;10;15;20;15;1;Standard;Balanced;Aggressive;Aggressive;Balanced;Innovative;Ruthless;14;16;19;19;19;19;16;20;14;8;19;18;19;20;1;;19;17
2;1;10;10;20;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;;14;14
3;1;15;15;20;1;Very Defensive;Non-physical;Aggressive;Balanced;Prefers Veterans;Innovative;Loyal;12;15;8;10;20;6;8;12;10;12;12;12;12;15;0;;16;14
4;1;10;20;20;1;Offensive;Physical;Aggressive;Aggressive;Prefers Veterans;Balanced;Loyal;8;8;8;8;8;8;8;4;8;4;4;4;8;8;0;;14;13
5;1;10;10;20;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;;18;20
6;1;10;20;15;1;Defensive;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;9;11;6;7;15;5;6;4;7;4;4;4;9;11;0;;13;12
7;1;5;15;20;1;Defensive;Very Non-Physical;Balanced;Conservative;Balanced;Balanced;Balanced;17;6;5;7;10;5;5;2;7;2;2;2;5;9;0;;13;13
8;1;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;6;6;6;6;6;6;4;6;4;4;4;6;6;0;;13;12
9;10;15;20;15;1;Standard;Balanced;Very Aggressive;Aggressive;Prefers Veterans;Innovative;Ruthless;12;14;17;17;17;17;14;14;15;12;12;12;19;18;1;;14;14
10;1;10;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;;14;14
11;1;10;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;;14;14
12;10;15;20;15;1;Standard;Physical;Balanced;Balanced;Prefers Veterans;Conservative;Balanced;10;14;20;10;14;16;16;6;12;17;10;9;10;16;0;;14;14
13;10;10;15;20;1;Defensive;Balanced;Aggressive;Balanced;Balanced;Balanced;Balanced;11;14;8;9;19;6;8;14;16;17;7;12;15;15;1;;13;12
14;1;10;15;20;1;Standard;Non-physical;Balanced;Balanced;Prefers Prospects;Balanced;Balanced;4;4;4;4;4;4;4;3;4;3;3;3;4;4;0;;14;14
15;1;5;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;6;6;6;6;6;6;1;6;1;1;1;6;6;0;;13;12
16;10;15;17;20;1;Standard;Balanced;Aggressive;Balanced;Balanced;Balanced;Balanced;11;11;11;11;11;11;11;8;11;8;8;8;11;11;0;;14;14
17;10;15;15;20;1;Defensive;Balanced;Balanced;Conservative;Balanced;Balanced;Balanced;20;11;9;13;17;9;9;18;13;7;18;7;9;15;0;;16;17
18;1;15;20;15;1;Standard;Balanced;Balanced;Balanced;Prefers Veterans;Balanced;Loyal;13;20;20;9;13;16;16;12;13;12;12;12;6;20;0;;13;12
19;1;15;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;5;10;10;16;12;12;10;13;18;17;9;8;5;12;0;;14;13
20;1;5;15;20;1;Defensive;Balanced;Balanced;Conservative;Balanced;Balanced;Balanced;12;5;4;6;8;4;4;2;6;2;2;2;4;7;0;;13;12
21;15;15;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;8;8;8;8;8;8;16;15;6;17;15;8;8;1;;16;17
22;15;15;5;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;2;2;2;2;2;2;2;6;2;6;6;6;2;2;0;;14;16
23;20;20;20;20;1;Standard;Physical;Aggressive;Balanced;Balanced;Balanced;Balanced;11;11;11;11;11;11;11;11;11;11;11;11;11;11;0;;14;14
24;10;15;10;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Loyal;8;8;8;8;8;8;8;14;8;14;14;14;8;8;0;;14;15
25;1;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;9;9;9;9;9;9;6;9;6;6;6;9;9;0;;13;12
26;15;15;10;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;10;6;5;7;5;6;6;5;9;6;15;4;7;0;;14;14
27;1;10;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;20;11;10;13;10;11;5;10;5;5;5;8;13;0;;13;12
28;10;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Loyal;7;7;7;7;7;7;7;11;7;4;11;4;7;7;0;;14;14
29;10;15;15;20;1;Defensive;Balanced;Balanced;Conservative;Balanced;Balanced;Balanced;16;7;6;8;11;6;6;8;8;8;8;8;6;10;0;;14;16
30;10;15;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;6;6;6;6;6;6;9;6;9;9;9;6;6;0;;14;14
31;10;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;5;8;12;5;8;9;9;12;7;3;8;8;5;9;0;;15;14
32;10;15;15;20;1;Defensive;Balanced;Aggressive;Balanced;Balanced;Balanced;Balanced;9;12;7;8;16;5;7;9;8;9;9;9;9;12;0;;14;14
33;10;15;20;15;1;Standard;Balanced;Balanced;Balanced;Prefers Veterans;Balanced;Loyal;13;19;20;13;19;20;20;18;17;17;20;16;16;17;1;;17;16
34;15;15;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Innovative;Balanced;6;6;6;6;6;6;6;13;6;5;13;5;6;6;0;;14;14
35;10;15;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;12;12;12;12;12;12;12;9;12;9;9;9;12;12;0;;14;14
36;15;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;5;7;12;5;7;9;9;7;6;7;7;7;5;9;0;;14;14
37;1;15;20;20;1;Offensive;Balanced;Balanced;Aggressive;Loves Prospects;Balanced;Balanced;7;13;13;5;7;9;9;6;7;6;6;6;3;14;0;;13;12
38;10;10;20;15;1;Standard;Balanced;Very Aggressive;Balanced;Balanced;Innovative;Balanced;8;10;12;12;12;12;10;6;8;6;6;6;12;20;0;;13;12
39;1;10;20;20;1;Standard;Balanced;Balanced;Balanced;Prefers Prospects;Balanced;Balanced;5;6;6;9;6;6;6;3;7;3;3;3;3;6;0;;14;14
40;1;10;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;15;9;7;10;7;9;4;7;4;4;4;6;10;0;;13;12
41;10;15;20;15;1;Standard;Physical;Balanced;Very Aggressive;Balanced;Innovative;Very Ruthless;14;14;14;14;14;14;14;13;18;20;11;11;14;14;1;;14;14
42;10;15;15;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;10;5;7;14;4;5;8;7;8;8;8;8;10;0;;15;14
43;1;5;15;20;1;Defensive;Balanced;Balanced;Conservative;Balanced;Conservative;Very Loyal;12;5;4;6;8;4;4;2;6;2;2;2;4;7;0;;13;12
44;1;10;10;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;;19;20
45;1;5;20;20;1;Defensive;Balanced;Balanced;Conservative;Balanced;Balanced;Balanced;16;7;6;9;11;6;6;2;9;2;2;2;6;10;0;;13;12
46;1;10;20;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;15;9;7;10;7;9;4;7;4;4;4;6;10;0;;13;13
47;1;10;20;20;1;Offensive;Non-physical;Balanced;Balanced;Prefers Prospects;Innovative;Balanced;7;9;9;13;9;9;9;4;10;4;4;4;5;9;0;;13;12
48;15;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;5;7;11;5;7;8;8;7;6;7;7;7;5;8;0;;14;14
49;15;15;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;9;9;9;9;9;9;13;9;13;18;16;9;9;0;;16;17
50;10;20;15;18;1;Offensive;Balanced;Aggressive;Balanced;Loves Prospects;Innovative;Balanced;4;5;6;6;6;6;5;8;4;8;8;8;6;12;0;;15;16
51;1;10;20;15;1;Standard;Balanced;Aggressive;Balanced;Balanced;Balanced;Balanced;6;13;13;20;16;16;13;4;20;18;8;6;16;16;1;;13;12
52;1;10;15;20;1;Standard;Non-physical;Aggressive;Balanced;Prefers Prospects;Innovative;Balanced;3;4;4;4;4;4;4;3;3;3;3;3;4;9;0;;14;14
53;10;15;20;15;1;Offensive;Balanced;Balanced;Balanced;Prefers Veterans;Balanced;Balanced;7;13;13;15;17;17;19;12;14;16;7;18;5;11;1;;14;14
54;1;10;15;20;1;Standard;Non-physical;Balanced;Balanced;Prefers Prospects;Balanced;Balanced;6;6;6;6;6;6;6;4;6;4;4;4;6;6;0;;14;14
55;1;10;15;20;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;4;6;9;4;6;7;7;4;5;4;4;4;4;7;0;;14;14
56;1;10;15;20;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;4;10;6;5;7;5;6;4;5;4;4;4;4;7;0;;14;14
57;10;15;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;4;4;4;4;4;4;6;4;6;6;6;4;4;0;;14;14
58;1;15;15;20;1;Defensive;Non-physical;Aggressive;Balanced;Balanced;Innovative;Balanced;7;9;5;6;12;4;5;7;6;7;7;7;7;9;0;;15;14
59;1;5;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;4;4;4;4;4;4;1;4;1;1;1;4;4;0;;13;12
60;1;5;20;15;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;7;10;5;6;13;4;5;1;6;1;1;1;7;10;0;;13;12
61;1;10;20;16;1;Standard;Balanced;Aggressive;Balanced;Balanced;Innovative;Balanced;5;6;8;8;8;8;6;4;5;4;4;4;8;15;0;;13;12
62;1;5;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;10;6;5;7;5;6;2;5;2;2;2;4;7;0;;13;12
63;1;5;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;2;10;2;2;2;10;10;0;;13;12
64;1;10;20;20;1;Defensive;Balanced;Aggressive;Balanced;Balanced;Balanced;Balanced;9;11;6;7;15;5;6;4;7;4;4;4;9;11;0;;13;12
65;1;10;15;20;1;Offensive;Balanced;Aggressive;Balanced;Balanced;Balanced;Balanced;5;12;7;6;8;6;7;4;6;4;4;4;5;8;0;;13;12
66;1;10;15;20;1;Standard;Balanced;Very Aggressive;Balanced;Prefers Prospects;Very Innovative;Loyal;7;8;10;10;10;10;8;14;17;6;6;11;17;17;0;;13;15
67;10;15;20;15;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Loyal;12;16;20;12;16;19;19;18;14;12;17;13;12;19;1;;14;14
68;1;10;15;20;1;Offensive;Very Physical;Passive;Balanced;Balanced;Conservative;Very Loyal;1;2;2;4;3;3;2;9;10;10;2;4;1;3;1;;13;14
69;10;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;6;10;4;6;7;7;6;5;6;6;6;4;7;0;;15;15
70;1;10;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;15;9;7;10;7;9;4;7;4;4;4;6;10;0;;13;12
71;1;5;20;15;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;10;6;7;14;4;6;2;7;2;2;2;8;10;0;;13;12
72;1;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;5;7;11;5;7;8;8;4;6;4;4;4;5;8;0;;16;16
73;10;15;15;20;1;Standard;Physical;Balanced;Balanced;Prefers Veterans;Innovative;Balanced;7;10;15;7;10;11;11;16;8;15;10;10;7;11;0;;14;15
74;1;10;15;20;1;Standard;Balanced;Balanced;Balanced;Prefers Prospects;Balanced;Ruthless;5;5;5;5;5;5;5;3;5;3;3;3;5;5;0;;13;14
75;1;5;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;17;6;6;6;6;6;6;2;6;2;2;2;6;6;0;;13;12
76;1;15;15;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Loyal;4;6;10;4;6;7;7;6;5;6;6;6;4;7;0;;17;16
77;1;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;8;8;8;8;8;8;4;8;4;4;4;8;8;0;;13;12
78;10;20;15;15;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;5;12;7;6;8;6;7;8;6;7;15;8;5;8;0;;14;14
79;1;5;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;8;13;6;8;9;9;2;7;2;2;2;6;9;0;;13;12
80;1;10;20;15;1;Defensive;Balanced;Balanced;Conservative;Balanced;Balanced;Balanced;16;7;6;9;11;6;6;4;9;4;4;4;6;10;0;;13;12
81;1;10;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;15;9;7;10;7;9;4;7;4;4;4;6;10;0;;13;12
82;1;10;20;15;1;Defensive;Balanced;Balanced;Conservative;Balanced;Balanced;Balanced;16;7;6;9;11;6;6;4;9;4;4;4;6;10;0;;13;12
83;1;5;20;15;1;Defensive;Balanced;Balanced;Conservative;Balanced;Balanced;Balanced;20;9;8;11;14;8;8;2;11;2;2;2;8;12;0;;13;13
84;1;10;20;15;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;13;7;8;17;5;7;5;8;5;5;5;10;13;0;;13;12
85;15;15;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Loyal;8;8;8;8;8;8;8;17;8;7;16;15;8;8;0;;16;17
86;15;15;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;11;18;8;11;13;13;8;9;8;8;8;8;13;0;;14;14
87;1;10;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;7;17;10;8;11;8;10;5;8;5;5;5;7;11;0;;14;13
88;1;5;20;20;1;Standard;Balanced;Balanced;Conservative;Balanced;Balanced;Balanced;15;7;6;8;10;6;6;2;8;2;2;2;6;9;0;;13;12
89;1;10;15;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;7;7;7;7;7;7;7;4;7;4;4;4;7;7;0;;13;12
90;10;15;20;15;1;Standard;Balanced;Passive;Aggressive;Balanced;Balanced;Loyal;8;14;14;5;8;9;9;15;13;10;5;12;11;11;1;;14;14
91;10;15;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Conservative;Ruthless;9;15;15;6;9;10;10;13;14;7;11;13;4;16;0;;14;14
92;1;10;15;20;1;Standard;Balanced;Aggressive;Balanced;Balanced;Balanced;Balanced;5;7;11;5;7;8;8;4;6;4;4;4;5;8;0;;13;12
93;10;15;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;4;4;4;4;4;4;7;4;7;7;7;4;4;0;;14;14
94;10;20;15;15;1;Standard;Balanced;Balanced;Balanced;Prefers Veterans;Balanced;Balanced;5;12;7;6;8;6;7;12;6;16;8;15;5;8;0;;14;14
95;1;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;8;8;8;8;8;8;4;8;4;4;4;8;8;0;;13;12
96;10;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;2;3;6;2;3;4;4;3;3;3;3;3;2;4;0;;14;14
97;15;15;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;4;4;4;4;4;4;6;4;6;6;6;4;4;0;;15;15
98;1;10;20;16;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;8;13;6;8;9;9;4;7;4;4;4;6;9;0;;13;12
99;10;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;6;10;4;6;7;7;9;5;6;9;15;4;7;1;;14;14
100;10;15;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;9;14;6;9;10;10;7;8;7;7;7;6;10;0;;14;14
101;10;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;5;13;7;6;8;6;7;7;6;15;12;7;5;8;0;;12;14
102;1;10;20;15;1;Standard;Non-physical;Balanced;Balanced;Prefers Prospects;Innovative;Balanced;5;8;12;8;5;16;7;4;8;4;4;4;9;12;0;;13;14
103;1;10;20;15;1;Defensive;Physical;Balanced;Conservative;Balanced;Balanced;Balanced;19;9;7;10;13;7;7;5;10;5;5;5;7;12;0;;13;12
104;1;10;20;20;1;Standard;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;5;5;5;5;5;5;5;4;5;1;2;2;5;5;0;;13;12
105;1;10;18;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;3;4;6;3;4;4;4;3;3;0;2;2;3;4;0;;13;12
106;10;20;18;20;1;Standard;Balanced;Balanced;Conservative;Balanced;Balanced;Balanced;18;8;7;9;12;7;7;7;9;9;7;15;7;11;0;;15;13
107;10;10;20;20;1;Standard;Physical;Balanced;Balanced;Prefers Veterans;Conservative;Very Loyal;8;8;8;8;8;8;8;4;8;4;4;4;8;8;0;;13;12
108;1;5;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;10;6;5;6;5;6;1;5;1;1;1;4;6;0;;13;12
109;20;5;1;1;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;0;0;0;0;0;0;0;3;0;3;17;3;0;0;0;;10;10
110;1;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;6;6;6;6;6;6;4;6;4;4;4;6;6;0;;13;12
111;10;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;5;5;5;5;5;5;5;4;5;3;8;4;5;5;0;;14;14
