Game Id;Period;Time;Scorer;Assist 1;Assist 2;TeamId;Note;SQ
1343;1;414;1738;1210;15106;10;ES;3
1343;1;823;1738;1274;13097;10;PP;3
1343;1;934;1292;13573;1528;23;PP;3
1343;1;1179;1210;1738;13518;10;PP;4
1343;3;805;293;14544;13615;23;ES;3
1343;3;853;1251;13505;12061;23;ES;3
1343;3;1007;13021;;;10;ES;4
1343;3;1175;14760;14591;13021;10;ES, ENG;2
1345;1;243;494;12479;694;11;ES;3
1345;2;14;1842;12496;12067;217;ES;3
1345;2;663;12427;1801;;11;ES;4
1345;2;1034;1108;12551;13099;11;PP;1
1345;3;473;1801;;;11;ES;2
1347;1;847;13628;1094;12040;230;ES;2
1347;2;766;1091;1416;12625;229;ES;2
1347;2;804;14025;15034;13041;230;ES;3
1347;3;179;12044;1086;12040;230;ES;4
1347;3;202;13408;13011;12625;229;ES;3
1347;3;345;7;1471;1584;230;PP;2
1349;1;123;12079;15011;15012;20;ES;1
1349;1;599;509;691;12425;20;ES;3
1349;2;182;470;12079;12425;20;ES;4
1349;2;1179;15012;12508;15011;20;ES;3
1351;2;704;13561;12026;13059;21;ES;2
1351;3;987;14622;14539;14514;12;PP;3
1351;3;1180;12405;12030;12474;21;ES;2
1351;3;1186;1865;;;21;ES, ENG;2
1353;1;151;1710;13008;12535;9;PP;3
1353;2;610;12535;14990;1084;9;PP;4
1353;2;784;556;12535;;9;ES;3
1353;2;826;13102;147;13071;26;ES;3
1353;3;1187;13008;14990;15506;9;PP, ENG;2
1355;1;267;14146;12411;13613;0;ES;4
1355;1;718;1810;13100;12075;0;ES;2
1355;2;252;1448;13061;13546;18;ES;3
1355;2;401;14146;12411;177;0;ES;2
1355;3;596;1635;14094;960;0;ES;2
1355;3;801;13100;14041;14146;0;PP;1
1357;1;230;15078;11979;14740;16;ES;4
1357;2;540;501;;;214;ES;4
1357;3;96;12776;12404;14565;214;ES;3
1357;3;317;12445;;;16;ES;2
1357;3;383;599;12991;1667;214;PP;3
1357;3;493;14565;278;501;214;ES;1
1359;1;100;16625;;;3;ES;3
1359;1;1004;698;15025;14556;5;ES;2
1359;2;989;15521;14969;13796;3;ES;3
1359;3;102;14496;698;;5;ES;3
1359;3;184;16625;14493;;3;ES;3
1359;3;524;1508;698;;5;ES;2
1359;3;558;13054;15054;14485;5;PP;3
1359;3;1195;14496;14485;783;5;ES, ENG;2
1361;1;344;1875;240;1258;19;ES;2
1361;1;596;14051;13668;;227;ES;4
1361;2;485;14112;13503;13031;19;ES;2
1361;3;432;6;;;19;ES;3
1361;3;1196;1875;13056;1517;19;ES, ENG;1
1363;1;760;14596;15019;14084;15;ES;2
1363;1;1076;14979;12543;832;221;ES;2
1363;2;593;14993;14561;12452;15;ES;3
1363;2;691;14570;14993;12452;15;ES;2
1363;2;895;15472;14069;14084;15;ES;4
1363;3;212;14118;15060;12452;15;ES;3
1363;3;882;12549;16061;14048;221;ES;2
1365;1;864;15084;13604;15002;224;ES;1
1365;1;1197;13769;1173;13110;224;ES;2
1365;2;752;15103;13497;14147;8;ES;1
1365;3;208;15525;1173;14543;224;ES;4
1365;3;1162;13604;15084;12071;224;ES, ENG;2
1367;2;1105;13081;12397;1326;216;ES;3
1367;3;182;1260;13113;13103;216;PP;2
1369;1;298;401;12501;696;220;ES;3
1369;1;767;12501;401;178;220;ES;3
1369;1;868;15107;681;13508;14;ES;2
1369;2;92;1244;14120;1421;220;ES;2
1369;2;319;13508;13567;13605;14;ES;2
1369;2;882;12501;178;12137;220;PP;3
1369;2;1066;13508;1661;15107;14;PP;3
1369;3;369;13508;13567;13125;14;ES;2
1369;3;917;13508;13567;13605;14;ES;2
1371;1;129;14032;12414;13090;24;ES;2
1371;1;874;951;1409;13055;25;ES;3
1371;2;460;14033;;;24;SH;3
1371;2;536;1409;14574;14995;25;ES;3
1371;3;473;13050;15075;12042;25;ES;3
1371;3;493;13579;14511;15485;24;ES;4
1373;1;368;12455;12088;13525;22;ES;2
1373;1;423;15084;13110;12071;224;PP;1
1373;2;1018;13788;12994;15084;224;SH;3
1373;2;1086;15525;14593;15084;224;ES;3
1373;3;520;13600;14138;13017;22;PP;3
1373;3;1047;13769;1457;13526;224;ES;2
1373;3;1083;15002;14974;;224;ES;3
1375;1;102;15484;14051;1802;227;PP;3
1375;1;806;15106;16712;13593;10;ES;2
1375;2;809;14562;13679;13668;227;ES;4
1375;2;1193;16535;1615;15516;227;ES;2
1375;3;9;1210;13518;1738;10;ES;3
1375;3;1164;13574;665;15106;10;ES;3
1375;OT1;300;15021;;;227;ES;4
1377;1;814;14144;13811;15076;17;ES;1
1377;2;296;12397;1326;13516;216;ES;2
1377;2;436;15076;2;1641;17;PP;3
1377;2;463;14055;762;14533;17;ES;2
1377;2;769;14964;1290;1853;17;PP;1
1377;3;198;14144;1853;14964;17;ES;2
1377;3;1013;1853;13811;1793;17;ES;2
1379;1;762;908;989;;11;PP;2
1379;1;1167;13502;1517;14112;19;ES;3
1379;2;83;1866;13091;12551;11;ES;3
1379;2;1157;13099;12479;989;11;ES;3
1379;3;1166;694;1801;12427;11;ES, ENG;1
1381;1;769;12052;14075;1491;25;ES;4
1381;2;808;1635;13100;1172;0;ES;4
1381;3;45;1491;1022;13055;25;ES;3
1381;3;743;12411;797;;0;ES;4
1381;3;1193;14146;1810;12411;0;PP;3
1383;2;707;1094;1086;12040;230;ES;2
1383;3;812;13115;13041;7;230;ES;4
1383;3;1194;7;13122;13115;230;ES, ENG;1
1385;1;521;651;;;229;SH;2
1385;1;715;12412;881;651;229;ES;3
1385;2;958;14565;12776;598;214;ES;2
1385;2;1117;599;1437;1389;214;PP;2
1385;3;644;599;12991;598;214;ES;3
1387;2;30;1711;14033;;24;ES;2
1387;2;968;1414;12405;12072;21;ES;2
1387;2;1079;13579;14032;12414;24;ES;3
1387;3;112;12414;15485;14511;24;ES;1
1387;3;556;14033;1711;12537;24;ES;2
1387;3;1010;13579;12414;1711;24;ES;2
1387;3;1042;12405;13561;1560;21;PP;3
1389;1;27;12535;556;16013;9;ES;2
1389;2;418;12535;14988;13089;9;ES;2
1389;2;830;13497;14147;15103;8;PP;2
1389;3;789;588;14988;16013;9;ES;2
1389;3;987;13008;13089;1710;9;ES;1
1391;1;82;11994;12501;;220;PP;4
1391;1;119;12438;16517;13342;20;ES;3
1391;2;186;15012;196;1611;20;ES;3
1391;3;427;13342;;;20;ES;4
1391;3;1038;14120;12137;401;220;ES;3
1393;1;42;14487;13588;14549;16;PP;1
1393;1;960;12459;13785;12496;217;PP;3
1393;1;1009;12505;12428;13785;217;ES;3
1393;2;129;14487;13078;13037;16;PP;1
1393;2;358;1842;12428;12051;217;ES;2
1393;2;468;1687;12459;980;217;ES;2
1393;2;605;12544;14549;13037;16;ES;3
1393;2;705;13588;14965;15024;16;ES;4
1393;OT1;105;14492;;;16;ES;4
1395;1;443;829;783;12475;5;SH;1
1395;1;732;12475;16568;16008;5;ES;1
1395;2;540;15043;14585;14979;221;ES;3
1397;1;43;5;14994;14514;12;ES;1
1397;1;1094;14622;12399;;12;ES;4
1397;2;387;15005;662;;12;ES;4
1397;2;533;15087;1418;12417;12;SH;2
1397;2;656;14544;235;12001;23;ES;3
1397;2;1006;15087;1418;662;12;ES;3
1397;3;536;14514;14133;14622;12;PP;3
1399;1;444;14969;16539;1051;3;PP;2
1399;1;1001;14596;14980;15472;15;ES;3
1399;2;163;13379;14084;14069;15;ES;3
1399;2;283;13379;15032;14980;15;ES;3
1399;2;658;1051;1068;14049;3;ES;3
1399;3;746;13379;14596;15250;15;ES;3
1401;2;434;1059;13626;13082;18;ES;2
1401;2;507;154;13523;;14;ES;2
1401;2;639;134;12521;13495;18;ES;4
1401;2;666;13508;13567;15107;14;ES;3
1401;3;600;14505;13626;12521;18;ES;2
1403;1;442;13050;12042;14574;25;ES;4
1403;2;80;13083;13108;12518;25;ES;4
1403;2;754;14485;829;14556;5;ES;2
1403;2;984;1491;951;206;25;PP;4
1403;2;1150;13054;12552;698;5;ES;1
1405;1;125;1528;13573;1292;23;PP;3
1405;1;137;13523;1472;13605;14;ES;2
1405;1;924;14544;14145;13615;23;ES;3
1405;3;523;13523;681;1661;14;ES;3
1405;3;682;13615;293;14544;23;ES;4
1405;3;737;13500;966;681;14;ES;2
1405;3;986;1251;13505;13594;23;ES;3
1405;3;998;13500;1784;966;14;ES;2
1407;2;170;1790;694;12391;11;ES;3
1407;2;386;11994;1588;1244;220;ES;1
1407;3;289;12034;13095;342;220;ES;3
1407;3;303;13095;12034;1588;220;ES;2
1407;3;1106;1104;1421;1369;220;ES, ENG;1
1407;3;1135;1104;12034;12137;220;ES;2
1407;3;1170;1866;13091;494;11;ES;2
1409;1;318;960;1635;13100;0;ES;2
1409;1;901;960;14094;13069;0;ES;3
1409;2;40;12411;1635;1810;0;ES;1
1409;2;278;855;12074;13012;21;PP;3
1409;2;402;14094;960;;0;ES;3
1409;2;926;12405;12474;1865;21;ES;3
1409;3;239;1810;14146;13100;0;PP;4
