PlayerId;DraftId;Year;Round;Pick;Overall;Tam;Picked From
4037;0;1956;2;4;10;9;89
4465;0;1959;3;4;16;3;57
6085;8;1970;4;3;45;123;89
4136;0;1957;3;6;18;10;57
4466;0;1959;3;3;15;10;57
6086;8;1970;3;4;32;119;85
5396;5;1967;3;7;31;8;84
4922;0;1962;4;1;19;8;57
5639;6;1968;2;1;13;118;84
4923;0;1962;3;4;16;5;57
4137;0;1957;2;3;9;8;57
4040;0;1956;1;6;6;10;57
6087;8;1970;1;9;9;122;84
5640;6;1968;2;12;24;3;83
5398;4;1966;1;6;6;3;89
6088;8;1970;10;5;131;5;89
3947;0;1955;1;5;5;0;57
4342;0;1958;4;4;22;10;57
5045;1;1963;3;1;13;8;-1
3855;0;1954;3;6;18;0;57
4138;0;1957;1;2;2;3;89
4041;0;1956;1;5;5;3;57
3948;0;1955;1;1;1;5;57
5227;5;1967;1;2;2;119;90
4139;0;1957;1;5;5;0;57
5046;1;1963;3;6;18;10;-1
4469;0;1959;2;3;9;10;57
4343;0;1958;1;5;5;0;57
3950;0;1955;2;3;9;10;57
3421;0;1951;4;2;20;5;57
4594;0;1960;1;6;6;5;57
3856;0;1954;1;5;5;8;57
4926;0;1962;3;1;13;8;57
6089;8;1970;6;7;77;118;83
4596;0;1960;2;4;10;10;57
4719;0;1961;2;3;9;9;57
6090;8;1970;6;1;71;131;83
6091;8;1970;1;13;13;5;85
5230;5;1967;3;8;32;10;90
6092;8;1970;3;1;29;131;59
5401;3;1965;2;1;7;8;85
4043;0;1956;3;4;16;9;57
4927;0;1962;2;5;11;10;57
4044;0;1956;1;2;2;0;57
4928;0;1962;4;4;22;5;57
4142;0;1957;1;3;3;8;57
4143;0;1957;4;4;22;9;57
4346;0;1958;3;6;18;5;57
3423;0;1951;3;5;17;8;57
4348;0;1958;2;5;11;0;57
3545;0;1952;3;5;17;10;57
4929;0;1962;4;3;21;3;57
4349;0;1958;3;1;13;3;57
4930;0;1962;3;5;17;10;57
4046;0;1956;4;3;21;8;57
5641;6;1968;1;12;12;3;89
6093;8;1970;3;9;37;122;83
6094;8;1970;3;12;40;10;84
3315;0;1950;4;4;22;0;57
3546;0;1952;3;3;15;5;89
4472;0;1959;2;2;8;3;57
3129;0;1949;2;6;12;0;57
4721;0;1961;3;3;15;9;57
5402;4;1966;3;6;18;3;84
4350;0;1958;3;5;17;0;57
4598;0;1960;1;5;5;3;57
4048;0;1956;1;4;4;9;57
5051;1;1963;2;5;11;0;-1
4351;0;1958;2;3;9;8;57
