Game Id;Period;Time;Scorer;Assist 1;Assist 2;TeamId;Note;SQ
10335;1;149;4761;;;118;ES;1
10335;1;315;5238;4492;5943;120;ES;2
10335;1;517;5943;5096;5643;120;ES;2
10335;1;698;4494;5943;6355;120;PP;2
10335;2;392;5096;5080;5943;120;ES;2
10335;2;646;6355;4751;5940;120;PP;1
10335;2;1197;5943;5238;5955;120;ES;4
10336;1;643;5687;4475;4041;3;ES;4
10336;1;746;5275;3963;;131;ES;4
10336;1;1059;3873;4926;6373;131;ES;4
10336;2;362;5417;5687;4938;3;ES;3
10336;2;392;3873;4750;3869;131;PP;2
10336;2;403;5275;4750;4758;131;ES;4
10336;2;1036;6173;4758;4471;131;ES;4
10336;3;491;4601;5417;5246;3;ES;3
10336;3;843;6173;4152;4760;131;ES;4
10336;3;962;4365;4041;4601;3;PP;4
10336;3;1170;5275;;;131;ES, ENG;2
10337;1;328;6151;6136;;9;ES;3
10337;1;1199;4139;;;9;ES;4
10337;2;229;6136;4723;;9;PP;3
10337;2;486;5306;6446;4956;119;ES;4
10337;3;57;4956;4742;5306;119;ES;3
10337;3;116;5109;4723;5898;9;PP;2
10337;3;711;6374;4139;6141;9;ES;3
10338;1;59;4729;3885;2831;10;ES;2
10338;1;226;2831;4367;4957;10;ES;4
10338;1;834;5078;4367;4957;10;ES;4
10338;1;997;3885;4729;4957;10;ES;4
10338;1;1009;5265;5475;4060;0;ES;4
10338;1;1174;4146;5443;5075;0;ES;4
10338;2;576;3885;4729;2831;10;ES;3
10338;2;623;4381;5461;4367;10;ES;2
10338;3;1093;4355;5461;3053;10;ES;3
10339;1;36;5856;6367;;122;PP;2
10339;1;921;4927;5231;5073;121;ES;3
10339;2;649;5425;6367;6148;122;PP;1
10339;2;736;4721;4502;5917;121;ES;3
10339;2;759;4721;5231;6166;121;ES;3
10339;2;907;4350;4487;4929;122;SH;4
10339;2;1015;5654;4767;5694;122;ES;3
10339;3;483;4730;6156;4927;121;ES;4
10339;3;1013;6148;5856;6087;122;ES;3
10340;1;212;4369;5870;4605;8;ES;3
10340;1;592;4369;5288;;8;ES;3
10340;1;1189;4357;5094;5232;123;PP;3
10340;2;190;4366;4922;6192;123;ES;3
10340;2;326;3862;4497;4490;123;ES;2
10340;2;650;4940;4369;5444;8;ES;3
10340;2;945;5918;4369;4940;8;ES;1
10340;3;480;6359;6192;4037;123;ES;4
10341;1;232;5405;5449;4149;5;ES;3
10341;1;275;3885;4729;;10;ES;2
10341;1;639;5078;4381;4367;10;ES;4
10341;2;623;4962;5449;;5;ES;3
10341;2;791;5449;4149;5286;5;ES;3
10341;2;989;6146;5405;5449;5;ES;3
10341;3;138;5248;4381;5461;10;ES;1
10341;3;447;5286;6356;5449;5;ES;3
10341;3;529;4381;5078;5269;10;ES;2
10341;3;594;5058;4355;4158;10;ES;4
10341;3;711;6102;5051;5082;5;ES;2
10341;3;916;5058;4158;6101;10;SH;4
10341;3;951;4355;4729;5248;10;ES;3
10342;1;1152;5694;4466;4942;122;ES;3
10342;1;1164;6367;5856;5425;122;ES;3
10342;2;179;5694;6367;5086;122;ES;3
10342;2;350;5856;6367;6087;122;ES;3
10342;2;1015;5860;6148;4767;122;ES;3
10342;3;796;6346;4728;6183;130;ES;3
10342;3;942;6415;;;130;ES;2
10343;1;28;4940;5444;5701;8;ES;2
10343;1;60;4939;4723;;9;PP;3
10343;1;88;5447;5401;;8;ES;4
10343;2;993;5061;4930;5288;8;ES;3
10343;3;423;6136;6374;;9;ES;3
10343;3;1091;5061;5288;5918;8;PP;2
10344;1;147;5398;4938;5687;3;ES;3
10344;1;277;5080;5943;5096;120;ES;2
10344;1;539;4138;5417;6397;3;ES;2
