TeamId;ES L1 LW;ES L1 C;ES L1 RW;ES L1 LD;ES L1 RD;ES L2 LW;ES L2 C;ES L2 RW;ES L2 LD;ES L2 RD;ES L3 LW;ES L3 C;ES L3 RW;ES L3 LD;ES L3 RD;ES L4 LW;ES L4 C;ES L4 RW;ES L4 LD;ES L4 RD;PP5on4 L1 LW;PP5on4 L1 C;PP5on4 L1 RW;PP5on4 L1 LD;PP5on4 L1 RD;PP5on4 L2 LW;PP5on4 L2 C;PP5on4 L2 RW;PP5on4 L2 LD;PP5on4 L2 RD;PP5on3 L1 LW;PP5on3 L1 C;PP5on3 L1 RW;PP5on3 L1 LD;PP5on3 L1 RD;PP5on3 L2 LW;PP5on3 L2 C;PP5on3 L2 RW;PP5on3 L2 LD;PP5on3 L2 RD;PP4on3 L1 F1;PP4on3 L1 F2;PP4on3 L1 LD;PP4on3 L1 RD;PP4on3 L2 F1;PP4on3 L2 F2;PP4on3 L2 LD;PP4on3 L2 RD;PK4on5 L1 F1;PK4on5 L1 F2;PK4on5 L1 LD;PK4on5 L1 RD;PK4on5 L2 F1;PK4on5 L2 F2;PK4on5 L2 LD;PK4on5 L2 LD;PK4on5 L3 F1;PK4on5 L3 F2;PK4on5 L3 LD;PK4on5 L3 LD;PK3on5 L1 F1;PK3on5 L1 LD;PK3on5 L1 RD;PK3on5 L2 F1;PK3on5 L2 LD;PK3on5 L2 LD;PK3on4 L1 F1;PK3on4 L1 LD;PK3on4 L1 RD;PK3on4 L2 F1;PK3on4 L2 LD;PK3on4 L2 LD;4on4 L1 F1;4on4 L1 F2;4on4 L1 LD;4on4 L1 RD;4on4 L2 F1;4on4 L2 F2;4on4 L2 LD;4on4 L2 LD;3on3 L1 F1;3on3 L1 LD;3on3 L1 RD;3on3 L2 F1;3on3 L2 LD;3on3 L2 LD;Shootout 1;Shootout 2;Shootout 3;Shootout 4;Shootout 5;Goalie 1;Goalie 2;Extra Attacker 1;Extra Attacker 2;
0;3555;1340;798;764;1004;2656;483;642;668;799;2635;931;2768;1311;1533;3433;625;5003;;;3555;483;2768;1340;764;2656;931;642;;;3555;483;2768;1340;764;2656;931;642;;1311;483;3555;1340;764;2768;2656;931;;798;2635;764;1533;;642;;;;931;1311;668;2635;764;1533;798;;;2635;764;1533;798;;;642;3555;764;;1340;483;;1533;642;3555;764;1340;483;;3555;2656;483;931;642;1232;961;3555;1340;;;;
3;3540;1268;26;257;15;96;149;365;505;2797;335;156;521;778;908;1485;341;1152;;;3540;1268;365;257;15;96;149;26;2797;908;3540;1268;365;257;15;96;149;26;2797;908;1268;3540;26;257;149;96;365;15;156;1485;505;908;341;1152;778;15;335;521;257;2797;1485;505;908;156;778;15;1485;505;908;156;778;15;1268;3540;257;15;26;365;505;2797;1268;3540;15;26;365;257;3540;365;96;26;1268;1087;523;3540;1268;;;;
5;6;2719;981;2508;3563;1566;4770;371;4774;4337;103;1435;129;548;234;2434;1040;99;;;6;2719;371;1566;3563;103;4770;1435;2508;4774;6;2719;371;1566;3563;103;4770;1435;2508;4774;2719;6;1566;3563;371;103;4770;2508;2434;;2508;3563;1040;129;548;4337;6;2719;4774;234;2434;2508;3563;;548;4337;2434;2508;3563;;548;4337;6;2719;2508;3563;1040;1566;4774;4337;6;2719;3563;1040;1566;2508;2719;6;4770;3563;4774;1412;4354;2719;6;;;;
8;1155;708;1112;1080;1187;2645;1457;2638;3551;4348;4559;364;2775;1073;421;5008;5266;556;5000;4349;1155;708;1112;1080;1187;4559;364;1457;421;3551;1155;708;1112;1080;1187;4559;364;1457;421;3551;1155;708;1080;1187;1112;4559;5023;3551;1112;1155;1080;1187;1457;2775;1073;3551;2645;556;421;4348;1155;1080;1187;2645;1073;3551;1155;1080;1187;2645;1073;3551;1155;708;1080;1187;2645;1112;3551;4348;1155;708;1080;2645;1112;3551;708;1187;1112;1155;1457;1151;662;708;1187;;;;
9;1124;1277;1750;848;508;3560;678;303;1527;1099;1240;39;318;1331;1237;2791;0;356;;;3560;1277;1750;848;508;1124;678;303;1527;1099;3560;1277;1750;848;508;1124;678;303;1527;1099;3560;1277;848;508;1124;678;1527;1099;1277;3560;848;508;1124;1750;1527;1099;39;678;1331;1237;3560;848;508;1750;1527;1099;3560;848;508;1750;1527;1099;3560;1277;848;508;1124;678;1527;1099;3560;1277;848;1124;678;1527;3560;1277;1750;1124;678;644;852;3560;1277;;;;
10;1491;1132;4343;1323;3541;430;1233;1353;54;1579;1198;818;305;989;1305;4372;1537;699;;;1491;1132;4343;3541;989;1198;1233;1353;1305;430;1491;1132;4343;3541;989;1198;1233;1353;1305;430;1233;1132;1198;3541;430;1491;305;989;4372;1537;1323;1579;699;1233;54;1305;305;430;989;3541;1537;1323;1579;305;54;1305;1537;1323;1579;305;54;1305;1233;1132;1323;3541;1491;305;54;1579;1233;1132;3541;430;305;1579;3541;1132;54;305;430;1381;1532;1491;1233;;;;
11;272;3558;2532;31;226;2536;1432;312;1209;2652;565;3;148;4781;703;3045;582;185;;;272;3558;2532;312;226;2536;185;3;582;4781;272;3558;2532;312;226;2536;185;3;582;4781;3558;2532;312;226;272;185;582;4781;3;1432;31;1209;565;582;703;2652;3558;272;4781;226;1432;31;1209;3;703;2652;1432;31;1209;3;703;2652;2532;3558;31;226;1432;272;1209;2652;2532;3558;226;1432;272;31;3558;272;2532;185;226;1247;4776;3558;2532;;;;
12;728;1227;3393;;1035;1297;1090;2690;2746;770;1034;88;131;541;2402;3425;2468;1120;;;728;1227;3393;;1035;1297;1090;2690;2746;770;728;1227;3393;;1035;1297;1090;2690;2746;770;728;1227;;1035;1297;1090;2746;770;728;1227;;1035;1297;1090;2746;770;88;3393;541;2402;1227;;1035;1090;2746;770;1227;;1035;1090;2746;770;728;1227;;1035;1297;1090;2746;770;728;1227;;1297;1090;2746;1227;728;1090;1297;3393;1278;1498;1227;728;;;;
14;3547;141;583;888;1144;1272;424;94;1205;557;2437;1113;2639;787;119;2663;2691;940;;;3547;141;583;1144;888;94;1113;1272;2691;119;3547;141;583;1144;888;94;1113;1272;2691;119;583;3547;888;1144;94;141;1113;119;2639;424;1205;557;940;1272;888;1144;2437;3547;787;119;424;1205;557;2639;888;1144;424;1205;557;2639;888;1144;583;3547;888;1144;1272;141;1205;557;583;3547;1144;1272;141;888;3547;888;1144;583;2437;1258;221;3547;583;;;;
15;801;22;53;693;3545;44;965;349;1330;706;1439;1262;1140;988;79;458;1367;1023;;;965;22;349;44;3545;53;801;1140;1330;988;965;22;349;44;3545;53;801;1140;1330;988;22;349;44;3545;965;53;801;988;1140;801;693;3545;965;458;1330;706;53;44;79;988;801;693;3545;1140;1330;706;801;693;3545;1140;1330;706;22;44;693;3545;965;801;1330;706;22;44;3545;965;801;693;965;22;801;3545;458;432;510;965;22;;;;
