StaffId;Executive;Manager;Coach;Scout;Trainer;Off Pref;Phy Pref;Line Matching;Goalie Handling;Favor Veterans;Innovation;Loyalty;Coaching G;Coaching Defense;Coaching Forwards;Coaching Prospects;Def Skills;Off Skills;Phy Training;Player Management;Motivation;Discipline;Negotiating;Self-Preservation;Tactics;Ingame Tactics;Trainer Skill;Evaluate Abilities;Evaluate Potential
0;5;10;10;20;1;Standard;Physical;Balanced;Balanced;Loves Prospects;Balanced;Balanced;4;6;5;4;6;6;4;6;6;4;4;5;4;4;0;;16;19
1;10;15;20;15;1;Standard;Physical;Balanced;Balanced;Prefers Veterans;Balanced;Balanced;10;20;15;12;17;12;15;8;12;11;8;17;10;17;0;;14;14
2;10;15;15;20;1;Very Defensive;Non-physical;Aggressive;Balanced;Prefers Veterans;Innovative;Loyal;7;9;5;6;12;4;5;7;6;7;7;7;7;9;0;;16;14
3;10;15;15;20;1;Offensive;Physical;Aggressive;Aggressive;Prefers Veterans;Balanced;Loyal;8;8;8;8;8;8;8;8;8;8;8;8;8;8;0;;14;13
4;1;15;15;20;1;Defensive;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;5;6;3;4;8;2;3;5;4;5;5;5;5;6;0;;13;12
5;10;15;20;15;1;Standard;Balanced;Very Aggressive;Aggressive;Prefers Veterans;Innovative;Ruthless;14;17;20;20;20;20;17;15;16;15;15;13;20;19;1;;14;14
6;1;15;15;20;1;Standard;Non-physical;Balanced;Balanced;Prefers Prospects;Balanced;Balanced;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;;14;14
7;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;6;6;6;6;6;6;6;6;6;6;6;6;6;0;;13;12
8;15;15;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;8;8;8;8;8;8;16;15;6;17;15;8;8;1;;16;17
9;10;15;10;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Loyal;8;8;8;8;8;8;8;12;8;12;12;12;8;8;0;;14;15
10;10;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;5;8;12;5;8;9;9;12;7;3;8;8;5;9;0;;15;14
11;15;15;20;15;1;Standard;Balanced;Balanced;Balanced;Prefers Veterans;Balanced;Loyal;13;19;20;13;19;20;20;18;17;17;20;16;16;17;1;;17;16
12;1;15;20;15;1;Defensive;Very Physical;Aggressive;Balanced;Balanced;Balanced;Balanced;11;14;8;9;19;6;8;14;9;8;8;7;17;17;0;;15;13
13;10;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;9;9;9;9;9;9;9;9;9;9;9;9;9;0;;14;14
14;15;15;15;20;1;Standard;Balanced;Balanced;Balanced;Prefers Prospects;Balanced;Balanced;5;6;6;9;6;6;6;6;7;6;6;6;3;6;0;;14;14
15;10;15;20;20;1;Defensive;Balanced;Balanced;Conservative;Balanced;Conservative;Very Loyal;11;5;4;6;8;4;4;5;6;5;5;5;4;7;0;;13;12
16;1;10;10;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;;19;20
17;1;15;15;20;1;Offensive;Non-physical;Balanced;Balanced;Prefers Prospects;Innovative;Balanced;3;4;4;5;4;4;4;4;4;4;4;4;2;4;0;;13;12
18;15;16;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;9;9;9;9;9;9;17;9;17;18;16;9;9;0;;16;17
19;10;15;15;20;1;Offensive;Balanced;Aggressive;Balanced;Loves Prospects;Innovative;Balanced;4;5;6;6;6;6;5;6;4;6;6;6;6;11;0;;15;16
20;10;15;20;16;1;Offensive;Balanced;Balanced;Balanced;Prefers Veterans;Balanced;Balanced;9;16;16;19;20;20;20;13;16;18;9;20;7;14;1;;14;14
21;10;15;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;3;3;3;3;3;3;3;5;3;5;5;5;3;3;0;;14;14
22;1;5;16;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;9;9;9;9;9;9;2;9;2;2;2;9;9;0;;13;12
23;1;15;15;20;1;Standard;Balanced;Very Aggressive;Balanced;Prefers Prospects;Very Innovative;Loyal;7;8;10;10;10;10;8;14;17;10;10;11;17;17;0;;13;15
24;10;15;15;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Loyal;9;12;19;9;12;14;14;18;10;12;17;13;9;14;1;;14;14
25;10;20;15;15;1;Offensive;Very Physical;Passive;Balanced;Balanced;Conservative;Very Loyal;3;7;7;11;8;8;7;15;17;16;11;7;3;8;1;;13;14
26;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;5;7;11;5;7;8;8;7;6;7;7;7;5;8;0;;16;16
27;10;18;15;19;1;Standard;Physical;Balanced;Balanced;Prefers Veterans;Innovative;Balanced;7;10;15;7;10;11;11;16;8;15;13;10;7;11;0;;14;15
28;10;15;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Innovative;Ruthless;2;2;2;2;2;2;2;9;10;3;13;9;2;2;0;;20;19
29;1;10;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;14;20;20;17;20;17;20;18;17;15;10;16;14;20;1;;13;12
30;15;18;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Loyal;9;9;9;9;9;9;9;18;9;10;17;16;9;9;0;;16;17
31;10;15;20;15;1;Standard;Balanced;Passive;Aggressive;Balanced;Balanced;Loyal;11;19;19;7;11;13;13;17;15;12;7;14;13;13;1;;14;14
32;10;15;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Conservative;Ruthless;10;18;18;7;10;12;12;14;15;9;12;14;5;20;0;;14;14
33;10;20;15;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;5;7;11;5;7;8;8;9;6;9;9;9;5;8;0;;14;14
34;10;20;19;20;1;Standard;Physical;Passive;Balanced;Balanced;Conservative;Balanced;6;9;14;6;9;10;10;5;7;16;9;8;12;12;0;;15;13
35;10;20;17;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;5;8;13;5;8;9;9;9;7;9;9;9;5;9;0;;14;14
36;10;18;20;20;1;Standard;Physical;Balanced;Aggressive;Prefers Veterans;Conservative;Loyal;11;11;11;11;11;11;11;10;11;10;10;10;11;11;0;;16;15
37;15;15;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;4;4;4;4;4;4;7;4;7;7;7;4;4;0;;15;15
38;1;20;15;15;1;Standard;Non-physical;Balanced;Balanced;Prefers Prospects;Innovative;Balanced;4;6;9;6;4;12;5;9;6;9;9;9;7;9;0;;13;14
39;1;10;20;15;1;Defensive;Physical;Balanced;Conservative;Balanced;Balanced;Balanced;19;9;7;10;13;7;7;5;10;5;5;5;7;12;0;;13;12
40;1;10;20;15;1;Standard;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;9;9;9;9;9;9;9;7;9;1;4;4;9;9;0;;13;12
41;1;10;15;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;6;9;4;6;7;7;6;5;1;4;4;4;7;0;;13;12
42;20;5;1;1;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;1;1;1;1;1;1;1;2;1;2;15;2;1;1;0;;10;10
43;10;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;7;7;7;7;7;7;7;6;7;5;12;6;7;7;0;;14;14
44;1;5;15;20;1;Standard;Balanced;Balanced;Balanced;Prefers Prospects;Innovative;Balanced;6;8;9;9;9;9;8;3;6;3;3;3;9;17;0;;14;16
45;10;15;15;20;1;Standard;Physical;Balanced;Balanced;Prefers Prospects;Balanced;Balanced;6;6;6;6;6;6;6;6;6;6;6;6;6;6;0;;16;16
46;1;10;20;15;1;Offensive;Balanced;Balanced;Balanced;Prefers Prospects;Balanced;Balanced;9;10;10;15;10;10;10;5;12;5;5;5;6;10;0;;13;12
47;15;20;15;17;1;Standard;Physical;Balanced;Aggressive;Prefers Veterans;Balanced;Balanced;6;9;15;6;9;10;10;7;8;17;13;10;6;10;0;;15;13
48;15;10;15;20;1;Standard;Balanced;Aggressive;Balanced;Balanced;Innovative;Balanced;4;5;6;6;6;6;5;4;4;4;4;4;6;12;0;;13;12
49;10;20;16;20;1;Offensive;Physical;Passive;Aggressive;Prefers Prospects;Conservative;Loyal;4;6;10;4;6;7;7;8;5;8;8;8;4;7;0;;15;16
50;20;5;1;1;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;1;1;1;1;1;1;1;3;1;3;3;3;1;1;0;;10;10
51;15;19;20;20;1;Standard;Physical;Passive;Balanced;Prefers Veterans;Conservative;Loyal;9;13;20;9;13;15;15;7;11;20;13;11;9;15;0;;16;15
52;10;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;;14;16
53;1;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;5;7;11;5;7;8;8;4;6;4;4;4;5;8;0;;13;12
54;1;15;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;9;9;9;9;9;9;7;9;7;7;7;9;9;0;;13;12
55;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Innovative;Balanced;9;9;9;9;9;9;9;9;9;9;9;9;9;9;0;;13;12
56;1;10;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;5;10;5;5;5;10;10;0;;13;12
57;1;10;15;15;1;Standard;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;3;3;3;3;3;3;3;2;3;2;2;2;3;3;0;;14;14
58;1;10;15;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;1;1;1;1;1;1;1;0;1;0;0;0;1;1;0;;14;14
59;1;10;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;;17;18
60;1;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Conservative;Loyal;6;6;6;6;6;6;6;4;6;4;4;4;6;6;0;;13;12
61;1;15;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;7;9;15;7;9;11;11;7;8;7;7;7;7;11;0;;13;12
62;10;20;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;4;4;4;4;4;4;6;4;8;6;13;4;4;0;;14;14
63;1;10;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;;14;14
64;1;15;10;20;1;Standard;Balanced;Aggressive;Balanced;Balanced;Balanced;Balanced;4;4;4;4;4;4;4;7;4;7;7;7;4;4;0;;18;18
65;15;20;15;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;8;8;8;8;8;8;11;8;11;13;11;8;8;0;;14;16
66;1;15;15;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;5;7;4;4;9;3;4;5;4;5;5;5;5;7;0;;13;12
67;10;20;15;15;1;Standard;Balanced;Balanced;Balanced;Prefers Prospects;Balanced;Balanced;5;6;6;9;6;6;6;8;7;8;8;8;3;6;0;;14;14
68;10;20;15;15;1;Standard;Balanced;Balanced;Conservative;Balanced;Conservative;Loyal;4;6;6;2;4;4;4;10;4;2;6;6;2;7;0;;14;12
69;10;20;15;15;1;Standard;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;8;8;8;8;8;8;8;11;8;11;11;11;8;8;0;;14;14
70;1;15;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Ruthless;11;11;11;11;11;11;11;15;11;12;8;10;14;15;0;;13;12
71;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;;13;12
72;1;10;15;20;1;Standard;Non-physical;Balanced;Balanced;Balanced;Innovative;Balanced;6;6;6;6;6;6;6;4;6;4;4;4;6;6;0;;13;12
73;1;15;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;5;9;9;11;12;12;14;7;9;7;7;7;4;8;0;;13;12
74;1;15;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;9;14;6;9;10;10;6;7;6;6;6;6;10;0;;13;12
75;1;15;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;11;11;11;11;11;11;8;11;8;8;8;11;11;0;;13;12
76;1;10;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;;14;14
77;10;20;15;17;1;Defensive;Balanced;Balanced;Conservative;Balanced;Balanced;Balanced;12;5;4;6;8;4;4;8;6;8;8;8;4;7;0;;13;12
78;1;15;20;15;1;Offensive;Balanced;Balanced;Balanced;Balanced;Very Innovative;Balanced;9;13;20;13;9;20;11;11;13;11;11;8;19;18;0;;13;12
79;10;20;16;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;8;8;8;8;8;8;9;8;9;9;9;8;8;0;;13;12
80;10;20;16;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;9;15;6;9;10;10;11;8;11;11;11;6;10;0;;13;12
81;1;15;15;20;1;Standard;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;;13;12
82;1;15;20;15;1;Standard;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;7;10;7;7;7;10;10;0;;13;12
83;1;10;15;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;11;6;5;7;5;6;4;5;4;4;4;4;7;0;;13;12
84;1;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;16;7;7;7;7;7;7;4;7;4;4;4;7;7;0;;13;12
85;10;15;20;15;1;Standard;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;11;11;11;11;11;11;11;4;11;13;8;7;11;11;0;;14;14
86;1;10;15;20;1;Standard;Balanced;Balanced;Balanced;Prefers Prospects;Balanced;Balanced;4;5;5;7;5;5;5;3;6;3;3;3;3;5;0;;13;12
87;1;15;15;20;1;Standard;Balanced;Passive;Balanced;Balanced;Balanced;Loyal;6;10;10;4;6;7;7;11;6;3;7;7;3;11;0;;13;12
88;10;15;15;20;1;Defensive;Balanced;Balanced;Conservative;Balanced;Balanced;Balanced;12;5;4;6;8;4;4;6;6;6;6;6;4;7;0;;14;14
89;1;10;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;;14;14
90;10;15;20;19;1;Standard;Physical;Passive;Aggressive;Prefers Veterans;Innovative;Loyal;8;14;14;5;8;10;10;12;8;3;7;7;4;16;0;;15;13
91;10;20;15;15;1;Standard;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;7;7;7;7;7;7;7;7;7;9;7;15;7;7;0;;14;13
92;10;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;2;3;5;2;3;4;4;3;3;3;3;3;2;4;0;;16;16
93;15;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;7;10;10;7;16;10;10;0;;14;14
94;1;15;20;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;6;10;4;6;7;7;7;5;2;4;4;4;7;0;;13;12
95;10;15;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Loyal;3;5;8;3;5;6;6;10;4;4;4;4;3;6;0;;16;15
96;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Prefers Veterans;Balanced;Ruthless;8;8;8;8;8;8;8;8;8;8;8;8;8;8;0;;13;12
97;1;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;2;3;6;2;3;4;4;2;3;2;2;2;2;4;0;;13;12
98;10;19;20;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;20;13;11;15;13;11;11;13;15;11;17;16;11;17;0;;15;16
99;1;15;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;8;8;8;8;8;8;6;8;6;6;6;8;8;0;;13;12
100;1;10;15;20;1;Defensive;Balanced;Balanced;Conservative;Balanced;Balanced;Balanced;11;5;4;6;8;4;4;4;6;4;4;4;4;7;0;;13;12
101;10;15;10;20;1;Offensive;Balanced;Balanced;Balanced;Loves Prospects;Balanced;Balanced;2;2;2;14;2;2;2;4;2;4;6;4;2;2;0;;14;14
102;10;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;;14;14
103;10;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;;14;14
104;1;15;16;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;3;5;8;3;5;6;6;4;4;4;4;4;3;6;0;;13;12
105;10;15;20;15;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Loyal;8;20;11;10;13;10;11;12;10;5;12;5;8;13;0;;16;15
106;10;15;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;11;6;5;7;5;6;6;5;6;6;6;4;7;0;;14;14
107;1;10;17;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;10;5;5;6;5;5;3;5;3;3;3;4;6;0;;13;12
108;1;15;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;7;9;15;7;9;11;11;7;8;7;7;7;7;11;0;;13;12
109;1;15;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;13;13;13;13;13;13;13;10;13;10;10;10;13;13;0;;13;12
110;1;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;4;4;4;4;4;4;3;4;3;3;3;4;4;0;;13;12
111;1;10;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;;14;14
112;10;20;15;19;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;6;6;6;6;6;6;7;6;7;7;7;6;6;0;;14;14
113;1;15;15;20;1;Standard;Balanced;Balanced;Balanced;Prefers Prospects;Conservative;Loyal;4;11;6;5;7;5;6;6;5;6;6;6;4;7;0;;16;15
114;1;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;6;6;6;6;6;6;4;6;4;4;4;6;6;0;;14;14
115;1;10;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;;14;14
